0, [-0.0459904782474041, -0.07630139589309692, 0.6330000162124634]
1, [0.051278889179229736, 0.11022617667913437, 0.6682500243186951]
2, [-0.1090114563703537, 0.14290207624435425, 0.799750030040741]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.20020101964473724, 0.08233533054590225, 0.6097500324249268]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06213366240262985, -0.11190646141767502, 0.6780000329017639]
15, [-0.006969179958105087, -0.11031388491392136, 0.6472500562667847]
16, [NaN, NaN, NaN]
17, [0.07721228897571564, -0.10003719478845596, 0.7172500491142273]
0, [-0.045935988426208496, -0.07621099054813385, 0.6322500109672546]
1, [0.05141317844390869, 0.11051483452320099, 0.6700000166893005]
2, [-0.11003375798463821, 0.14424219727516174, 0.8072500228881836]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.19948266446590424, 0.08610854297876358, 0.6075000166893005]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.062225304543972015, -0.11207151412963867, 0.6790000200271606]
15, [-0.007109155412763357, -0.11252953112125397, 0.6602500081062317]
16, [NaN, NaN, NaN]
17, [0.08222566545009613, -0.09730532020330429, 0.7265000343322754]
0, [-0.045881494879722595, -0.07612058520317078, 0.6315000057220459]
1, [0.05492377281188965, 0.11011423915624619, 0.6675000190734863]
2, [-0.1090114563703537, 0.14290207624435425, 0.799750030040741]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.2004677653312683, 0.08653376996517181, 0.6105000376701355]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
